month_end_date,firm_crd_number,branch_id,branch_name,branch_region,account_count,beginning_aum,ending_aum,net_new_assets,revenue,avg_fee_rate,advisor_count,aum_growth_rate,revenue_per_account
2026-01-31,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,Northeast,228,561209045.82,565219631.06,1769662.22,269382.16,0.009537719298245614,6,0.007146330355634056,1181.5007017543858
2026-01-31,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,Mountain,247,1106131106.16,1113556580.48,390765.18,499265.89,0.00895910931174089,6,0.006713014649572517,2021.3193927125506
2026-01-31,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,Midwest,233,624432947.61,627005279.56,812808.58,315945.1,0.009508583690987124,6,0.004119468647267026,1355.9875536480686
2026-01-31,100001,BR-00004,Cedar Ridge Capital Management - Chicago 2,Midwest,175,541445353.62,545510224.27,378836.3600000001,301352.92,0.009150857142857143,4,0.007507443960545656,1722.0166857142856
2026-01-31,100001,BR-00005,Cedar Ridge Capital Management - Chicago 3,Midwest,84,243722795.63,246301797.37,-377520.77,120970.82,0.008735714285714286,3,0.010581700957981948,1440.1288095238097
2026-01-31,100001,BR-00006,Cedar Ridge Capital Management - Naperville 4,Midwest,150,572213270.3,578759802.15,1139597.5399999998,249595.37,0.008898,4,0.011440720077267359,1663.9691333333333
2026-01-31,100001,BR-00007,Cedar Ridge Capital Management - Chicago 5,Midwest,331,1577569895.75,1589296683.4,2081783.3800000001,739015.47,0.008753776435045317,8,0.0074334504490686975,2232.6751359516616
2026-02-28,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,Northeast,228,565219631.06,567004754.25,726583.76,270638.62,0.009537719298245614,6,0.0031582823594649007,1187.01149122807
2026-02-28,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,Mountain,247,1113556580.48,1115859353.36,1795657.46,501682.86,0.00895910931174089,6,0.002067944207206124,2031.1046963562753
2026-02-28,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,Midwest,233,627005279.56,633129013.14,1159596.52,317588.93,0.009508583690987124,6,0.009766637984766834,1363.0426180257512
2026-02-28,100001,BR-00004,Cedar Ridge Capital Management - Chicago 2,Midwest,175,545510224.27,548104864.32,123749.47999999997,303557.0,0.009150857142857143,4,0.00475635457332117,1734.6114285714286
2026-02-28,100001,BR-00005,Cedar Ridge Capital Management - Chicago 3,Midwest,84,246301797.37,247925933.32999998,94681.31,122244.91,0.008735714285714286,3,0.006594088948365105,1455.2965476190477
2026-02-28,100001,BR-00006,Cedar Ridge Capital Management - Naperville 4,Midwest,150,578759802.15,584719189.0699999,-469688.81999999995,252541.44,0.008898,4,0.010296822443199733,1683.6096
2026-02-28,100001,BR-00007,Cedar Ridge Capital Management - Chicago 5,Midwest,331,1589296683.4,1592446223.24,1696760.4000000001,743454.11,0.008753776435045317,8,0.0019817192553765787,2246.084924471299
2026-03-31,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,Northeast,228,567004754.25,569539178.35,721778.9,271793.32,0.009537719298245614,6,0.00446984629494405,1192.0759649122808
2026-03-31,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,Mountain,247,1115859353.36,1121252792.82,4200696.46,503501.93,0.00895910931174089,6,0.004833440203516401,2038.4693522267207
2026-03-31,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,Midwest,233,633129013.14,637787101.3,1737102.21,319846.2,0.009508583690987124,6,0.007357249570507286,1372.7304721030043
2026-03-31,100001,BR-00004,Cedar Ridge Capital Management - Chicago 2,Midwest,175,548104864.32,553355950.67,998624.69,305530.59,0.009150857142857143,4,0.00958044106489477,1745.8890857142858
2026-03-31,100001,BR-00005,Cedar Ridge Capital Management - Chicago 3,Midwest,84,247925933.32999998,250144009.85999998,352735.81000000006,123355.93,0.008735714285714286,3,0.008946528909695167,1468.5229761904761
2026-03-31,100001,BR-00006,Cedar Ridge Capital Management - Naperville 4,Midwest,150,584719189.0699999,591429827.03,2170251.17,255703.66999999998,0.008898,4,0.011476685023238857,1704.6911333333333
2026-03-31,100001,BR-00007,Cedar Ridge Capital Management - Chicago 5,Midwest,331,1592446223.24,1603284133.88,112991.14999999983,747676.24,0.008753776435045317,8,0.006805825202655341,2258.8406042296074
2026-04-30,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,Northeast,228,569539178.35,575379422.48,1557343.2799999998,273999.1,0.009537719298245614,6,0.010254332541124992,1201.7504385964912
2026-04-30,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,Mountain,247,1121252792.82,1124930717.19,1263787.3599999999,506053.86,0.00895910931174089,6,0.003280191936690729,2048.801052631579
2026-04-30,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,Midwest,233,637787101.3,646620909.02,617591.1,322604.45,0.009508583690987124,6,0.013850715547545724,1384.5684549356224
2026-04-30,100001,BR-00004,Cedar Ridge Capital Management - Chicago 2,Midwest,175,553355950.67,558678738.91,731153.11,308161.74,0.009150857142857143,4,0.009619103641255164,1760.9242285714286
2026-04-30,100001,BR-00005,Cedar Ridge Capital Management - Chicago 3,Midwest,84,250144009.85999998,250079936.65,-326189.54000000004,123815.70999999999,0.008735714285714286,3,-0.00025614529021038274,1473.9965476190475
2026-04-30,100001,BR-00006,Cedar Ridge Capital Management - Naperville 4,Midwest,150,591429827.03,596055019.98,287832.8999999999,258696.92,0.008898,4,0.007820357950539139,1724.6461333333334
2026-04-30,100001,BR-00007,Cedar Ridge Capital Management - Chicago 5,Midwest,331,1603284133.88,1622607471.05,6544627.8,754101.23,0.008753776435045317,8,0.012052347279977586,2278.2514501510573
2026-05-31,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,Northeast,228,575379422.48,580559497.3,463485.57,275984.95,0.009537719298245614,6,0.009002885083503297,1210.460307017544
2026-05-31,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,Mountain,247,1124930717.19,1133145311.68,1923737.84,509428.2,0.00895910931174089,6,0.0073023114796967265,2062.4623481781377
2026-05-31,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,Midwest,233,646620909.02,650883024.48,500602.18000000005,325433.35,0.009508583690987124,6,0.006591366596016169,1396.7096566523603
2026-05-31,100001,BR-00004,Cedar Ridge Capital Management - Chicago 2,Midwest,175,558678738.91,562900906.09,1297771.27,310674.5,0.009150857142857143,4,0.0075574151760950305,1775.2828571428572
2026-05-31,100001,BR-00005,Cedar Ridge Capital Management - Chicago 3,Midwest,84,250079936.65,252174231.29,719937.54,124678.24,0.008735714285714286,3,0.00837450084182907,1484.264761904762
2026-05-31,100001,BR-00006,Cedar Ridge Capital Management - Naperville 4,Midwest,150,596055019.98,602805065.91,2788179.86,261510.27,0.008898,4,0.011324534990455139,1743.4017999999999
2026-05-31,100001,BR-00007,Cedar Ridge Capital Management - Chicago 5,Midwest,331,1622607471.05,1639590620.62,1606893.75,761562.13,0.008753776435045317,8,0.010466579177655349,2300.7919335347433
2026-06-30,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,Northeast,228,580559497.3,588485162.65,286555.51000000007,278086.75,0.009537719298245614,6,0.01365177107059622,1219.6787280701753
2026-06-30,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,Mountain,247,1133145311.68,1145042665.89,3019819.74,513565.74,0.00895910931174089,6,0.01049940734640735,2079.2135222672064
2026-06-30,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,Midwest,233,650883024.48,656394510.5,1450551.6400000001,327954.73,0.009508583690987124,6,0.00846770588986122,1407.5310300429185
2026-06-30,100001,BR-00004,Cedar Ridge Capital Management - Chicago 2,Midwest,175,562900906.09,567996685.88,345207.87000000005,313092.85,0.009150857142857143,4,0.009052712004668931,1789.1019999999999
2026-06-30,100001,BR-00005,Cedar Ridge Capital Management - Chicago 3,Midwest,84,252174231.29,255532608.57,25878.08999999999,126329.57,0.008735714285714286,3,0.013317686199815841,1503.9234523809525
2026-06-30,100001,BR-00006,Cedar Ridge Capital Management - Naperville 4,Midwest,150,602805065.91,611628801.18,3462592.46,264769.19,0.008898,4,0.014637792163673327,1765.1279333333334
2026-06-30,100001,BR-00007,Cedar Ridge Capital Management - Chicago 5,Midwest,331,1639590620.62,1655164100.56,1312789.52,768118.03,0.008753776435045317,8,0.009498395358050447,2320.5982779456194
2026-07-31,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,Northeast,228,588485162.65,588757399.32,2094522.4000000001,279994.68,0.009537719298245614,6,0.0004626058349103839,1228.046842105263
2026-07-31,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,Mountain,247,1145042665.89,1144136569.92,-870278.3899999999,516253.79,0.00895910931174089,6,-0.0007913207053256423,2090.0963157894735
2026-07-31,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,Midwest,233,656394510.5,664959006.35,2104052.58,331529.89,0.009508583690987124,6,0.013047787135629959,1422.8750643776825
2026-07-31,100001,BR-00004,Cedar Ridge Capital Management - Chicago 2,Midwest,175,567996685.88,573267417.25,2309201.7600000002,315987.8,0.009150857142857143,4,0.009279510780655411,1805.6445714285715
2026-07-31,100001,BR-00005,Cedar Ridge Capital Management - Chicago 3,Midwest,84,255532608.57,259801212.16,2249592.7800000003,128113.7,0.008735714285714286,3,0.0167047313995962,1525.1630952380951
2026-07-31,100001,BR-00006,Cedar Ridge Capital Management - Naperville 4,Midwest,150,611628801.18,617793785.16,3502627.25,268258.52,0.008898,4,0.010079616865827888,1788.3901333333336
2026-07-31,100001,BR-00007,Cedar Ridge Capital Management - Chicago 5,Midwest,331,1655164100.56,1670724638.83,3189142.6100000003,774789.27,0.008753776435045317,8,0.009401205756417327,2340.753081570997
2026-08-31,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,Northeast,228,588757399.32,554568159.21,-40488129.83,282224.74,0.009537719298245614,6,-0.05807016633589272,1237.8278070175438
2026-08-31,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,Mountain,247,1144136569.92,1133682312.4,-9867386.12,517330.81,0.00895910931174089,6,-0.009137246194945907,2094.456720647773
2026-08-31,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,Midwest,233,664959006.35,639690153.86,-25741378.76,334569.28,0.009508583690987124,6,-0.038000616953370196,1435.9196566523606
2026-08-31,100001,BR-00004,Cedar Ridge Capital Management - Chicago 2,Midwest,175,573267417.25,546040162.64,-30352001.15,318586.8,0.009150857142857143,4,-0.04749485805527004,1820.4959999999999
2026-08-31,100001,BR-00005,Cedar Ridge Capital Management - Chicago 3,Midwest,84,259801212.16,238945522.84,-22223422.48,129329.05,0.008735714285714286,3,-0.08027556587055454,1539.6315476190478
2026-08-31,100001,BR-00006,Cedar Ridge Capital Management - Naperville 4,Midwest,150,617793785.16,508338526.74,-114139912.82,271028.79,0.008898,4,-0.17717118729456396,1806.8585999999998
2026-08-31,100001,BR-00007,Cedar Ridge Capital Management - Chicago 5,Midwest,331,1670724638.83,1601282604.05,-79243528.22,781543.22,0.008753776435045317,8,-0.0415640214826962,2361.157764350453
