month_end_date,firm_crd_number,account_count,beginning_aum,ending_aum,net_new_assets,revenue,avg_fee_rate,advisor_count,aum_growth_rate,revenue_per_account
2026-01-31,100000,475,1667340151.98,1678776211.54,2160427.4,768648.05,0.009236842105263158,12,0.006858864129445567,1618.2064210526316
2026-01-31,100001,973,3559384262.91,3586873786.75,4035505.0900000003,1726879.68,0.00902661870503597,25,0.007723112147921309,1774.7992600205548
2026-02-28,100000,475,1678776211.54,1682864107.6100001,2522241.22,772321.48,0.009236842105263158,12,0.0024350452680349825,1625.9399578947368
2026-02-28,100001,973,3586873786.75,3606325223.1,2605098.89,1739386.39,0.00902661870503597,25,0.005422949762507393,1787.6530215827338
2026-03-31,100000,475,1682864107.6100001,1690791971.17,4922475.36,775295.25,0.009236842105263158,12,0.0047109350803488685,1632.2005263157894
2026-03-31,100001,973,3606325223.1,3636001022.7400002,5371705.03,1752112.63,0.00902661870503597,25,0.008228819588958481,1800.7324049331962
2026-04-30,100000,475,1690791971.17,1700310139.67,2821130.6399999997,780052.96,0.009236842105263158,12,0.005629414299509351,1642.2167578947367
2026-04-30,100001,973,3636001022.7400002,3674042075.61,7855015.37,1767380.05,0.00902661870503597,25,0.010462332829965238,1816.423484069887
2026-05-31,100000,475,1700310139.67,1713704808.98,2387223.41,785413.15,0.009236842105263158,12,0.007877780057583854,1653.5013684210526
2026-05-31,100001,973,3674042075.61,3708353848.39,6913384.6,1783858.49,0.00902661870503597,25,0.00933897110427157,1833.359188078109
2026-06-30,100000,475,1713704808.98,1733527828.54,3306375.25,791652.49,0.009236842105263158,12,0.011567347804665751,1666.6368210526316
2026-06-30,100001,973,3708353848.39,3746716706.69,6597019.58,1800264.37,0.00902661870503597,25,0.01034498321044946,1850.2203186022612
2026-07-31,100000,475,1733527828.54,1732893969.24,1224244.01,796248.47,0.009236842105263158,12,-0.0003656470288877895,1676.3125684210527
2026-07-31,100001,973,3746716706.69,3786546059.75,13354616.98,1818679.18,0.00902661870503597,25,0.010630468268092464,1869.1461253854059
2026-08-31,100000,475,1732893969.24,1688250471.6100001,-50355515.95,799555.55,0.009236842105263158,12,-0.025762394250572234,1683.2748421052634
2026-08-31,100001,973,3786546059.75,3534296970.13,-271700243.43,1835057.14,0.00902661870503597,25,-0.06661719826977469,1885.978561151079
